date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:46	105285/105285	---M--	200	added ('OK')	image/png	etag:%2219b45-541e172bc0d27%22	http://le-mugs.com/wp-content/themes/mugs/images/Legume-1.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/Legume-1.png	(from http://le-mugs.com/)
00:34:54	231765/231765	---M--	200	added ('OK')	image/png	etag:%2238955-541e1728f27c7%22	http://le-mugs.com/wp-content/themes/mugs/images/Fenouil.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/Fenouil.png	(from http://le-mugs.com/)
00:34:58	108738/108738	---M--	200	added ('OK')	image/png	etag:%221a8c2-541e172bdab4b%22	http://le-mugs.com/wp-content/themes/mugs/images/Legume-2.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/Legume-2.png	(from http://le-mugs.com/)
00:34:58	70938/70938	---M--	200	added ('OK')	image/png	etag:%221151a-541e172d435c4%22	http://le-mugs.com/wp-content/themes/mugs/images/oignon.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/oignon.png	(from http://le-mugs.com/)
00:34:59	783494/783494	---M--	200	added ('OK')	image/jpeg	etag:%22bf486-541e17b196d8a%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-9.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-9.jpg	(from http://le-mugs.com/)
00:35:00	667/667	---M-Z	200	added ('OK')	image/svg+xml	etag:%2229b-541e17252a38d-gzip%22	http://le-mugs.com/wp-content/themes/mugs/images/arrow-left.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/arrow-left.svg	(from http://le-mugs.com/)
00:35:01	666/666	---M-Z	200	added ('OK')	image/svg+xml	etag:%2229a-541e172556024-gzip%22	http://le-mugs.com/wp-content/themes/mugs/images/arrow-right.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/arrow-right.svg	(from http://le-mugs.com/)
00:35:01	705/705	---M-Z	200	added ('OK')	image/svg+xml	etag:%222c1-541e1726db7ea-gzip%22	http://le-mugs.com/wp-content/themes/mugs/images/croix3.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/croix3.svg	(from http://le-mugs.com/)
00:35:01	596/596	---M-Z	200	added ('OK')	image/svg+xml	etag:%22254-541e17256dcaf-gzip%22	http://le-mugs.com/wp-content/themes/mugs/images/arrow-up.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/arrow-up.svg	(from http://le-mugs.com/)
00:35:02	9631/9631	---M-Z	200	added ('OK')	image/svg+xml	etag:%22259f-541e17312760e-gzip%22	http://le-mugs.com/wp-content/themes/mugs/images/thankyou.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/thankyou.svg	(from http://le-mugs.com/)
00:35:02	22387/22387	---M-Z	200	added ('OK')	image/svg+xml	etag:%225773-541e172bed487-gzip%22	http://le-mugs.com/wp-content/themes/mugs/images/logoplay.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/logoplay.svg	(from http://le-mugs.com/)
00:35:12	58504/58504	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e488-541e17213b2d9%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.eot	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.eot	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:13	25680/25680	---M--	200	added ('OK')	text/html	etag:%226450-541e1721a930a%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.woff2	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.html	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:15	125532/125532	---M--	200	added ('OK')	image/png	etag:%221ea5c-541e172ef18cb%22	http://le-mugs.com/wp-content/themes/mugs/images/Salade.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/Salade.png	(from http://le-mugs.com/)
00:35:19	31952/31952	---M--	200	added ('OK')	application/font-woff	etag:%227cd0-541e1721927ef%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.woff	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.woff	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:24	58388/58388	---M--	200	added ('OK')	application/font-sfnt	etag:%22e414-541e17216d4c3%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.ttf	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomoda-webfont.ttf	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
